game_id,date,away,home,venue,schedule_type
381,2026-06-25,삼성 라이온즈,LG 트윈스,잠실,announced_135
382,2026-06-25,KIA 타이거즈,키움 히어로즈,고척,announced_135
383,2026-06-25,SSG 랜더스,KT 위즈,수원,announced_135
384,2026-06-25,두산 베어스,한화 이글스,대전,announced_135
385,2026-06-25,NC 다이노스,롯데 자이언츠,사직,announced_135
386,2026-06-26,KIA 타이거즈,두산 베어스,잠실,announced_135
387,2026-06-26,한화 이글스,SSG 랜더스,문학,announced_135
388,2026-06-26,KT 위즈,삼성 라이온즈,대구,announced_135
389,2026-06-26,LG 트윈스,롯데 자이언츠,사직,announced_135
390,2026-06-26,키움 히어로즈,NC 다이노스,창원,announced_135
391,2026-06-27,KIA 타이거즈,두산 베어스,잠실,announced_135
392,2026-06-27,한화 이글스,SSG 랜더스,문학,announced_135
393,2026-06-27,KT 위즈,삼성 라이온즈,대구,announced_135
394,2026-06-27,LG 트윈스,롯데 자이언츠,사직,announced_135
395,2026-06-27,키움 히어로즈,NC 다이노스,창원,announced_135
396,2026-06-28,KIA 타이거즈,두산 베어스,잠실,announced_135
397,2026-06-28,한화 이글스,SSG 랜더스,문학,announced_135
398,2026-06-28,KT 위즈,삼성 라이온즈,대구,announced_135
399,2026-06-28,LG 트윈스,롯데 자이언츠,사직,announced_135
400,2026-06-28,키움 히어로즈,NC 다이노스,창원,announced_135
401,2026-06-30,롯데 자이언츠,두산 베어스,잠실,announced_135
402,2026-06-30,LG 트윈스,키움 히어로즈,고척,announced_135
403,2026-06-30,KT 위즈,한화 이글스,대전,announced_135
404,2026-06-30,SSG 랜더스,KIA 타이거즈,광주,announced_135
405,2026-06-30,삼성 라이온즈,NC 다이노스,창원,announced_135
406,2026-07-01,롯데 자이언츠,두산 베어스,잠실,announced_135
